Product code,Station number,Year,Month,Monthly mean daily global solar exposure (MJ/m*m)
IDCJAC0003,070247,2015,02,20.0
IDCJAC0003,070247,2015,03,18.8
IDCJAC0003,070247,2015,04,10.2
IDCJAC0003,070247,2015,05,10.0
IDCJAC0003,070247,2015,06,8.5
IDCJAC0003,070247,2015,07,8.7
IDCJAC0003,070247,2015,08,11.2
IDCJAC0003,070247,2015,09,17.4
IDCJAC0003,070247,2015,10,20.5
IDCJAC0003,070247,2015,11,23.3
IDCJAC0003,070247,2015,12,27.3
IDCJAC0003,070247,2016,01,20.4
IDCJAC0003,070247,2016,02,24.3
IDCJAC0003,070247,2016,03,17.6
IDCJAC0003,070247,2016,04,14.7
IDCJAC0003,070247,2016,05,10.6
IDCJAC0003,070247,2016,06,7.4
IDCJAC0003,070247,2016,07,9.0
IDCJAC0003,070247,2016,08,11.8
IDCJAC0003,070247,2016,09,13.5
IDCJAC0003,070247,2016,10,19.0
IDCJAC0003,070247,2016,11,26.4
IDCJAC0003,070247,2016,12,23.4
IDCJAC0003,070247,2017,01,24.9
IDCJAC0003,070247,2017,02,20.5
IDCJAC0003,070247,2017,03,15.0
IDCJAC0003,070247,2017,04,12.7
IDCJAC0003,070247,2017,05,10.3
IDCJAC0003,070247,2017,06,9.1
IDCJAC0003,070247,2017,07,9.7
IDCJAC0003,070247,2017,08,12.8
IDCJAC0003,070247,2017,09,17.5
IDCJAC0003,070247,2017,10,20.5
IDCJAC0003,070247,2017,11,23.1
IDCJAC0003,070247,2017,12,22.7
IDCJAC0003,070247,2018,01,23.6
IDCJAC0003,070247,2018,02,21.9
IDCJAC0003,070247,2018,03,18.5
IDCJAC0003,070247,2018,04,14.0
IDCJAC0003,070247,2018,05,10.3
IDCJAC0003,070247,2018,06,8.3
IDCJAC0003,070247,2018,07,10.6
IDCJAC0003,070247,2018,08,12.1
IDCJAC0003,070247,2018,09,17.1
IDCJAC0003,070247,2018,10,19.4
IDCJAC0003,070247,2018,11,21.8
IDCJAC0003,070247,2018,12,25.1
IDCJAC0003,070247,2019,01,25.5
